time	V(drain)	V(drain)/Id(M1)
1.077253124948855e-008	2.126245e-001	3.025280e+003
1.126081249948856e-008	1.802813e-001	2.897533e+003
1.165143749948856e-008	1.572091e-001	2.810053e+003
1.204206249948856e-008	1.365381e-001	2.734085e+003
1.243268749948857e-008	1.181477e-001	2.668315e+003
1.282331249948857e-008	1.018922e-001	2.611544e+003
1.321393749948857e-008	8.760832e-002	2.562677e+003
1.350690624948858e-008	7.808603e-002	2.530613e+003
1.379987499948858e-008	6.950238e-002	2.502054e+003
1.409284374948858e-008	6.178431e-002	2.476648e+003
1.438581249948858e-008	5.486046e-002	2.454073e+003
1.467878124948858e-008	4.866211e-002	2.434036e+003
1.497174999948858e-008	4.312377e-002	2.416267e+003
1.526471874948858e-008	3.818367e-002	2.400524e+003
1.555768749948858e-008	3.378400e-002	2.386586e+003
1.585065624948858e-008	2.987111e-002	2.374257e+003
1.614362499948857e-008	2.639549e-002	2.363357e+003
1.643659374948857e-008	2.331172e-002	2.353726e+003
1.672956249948857e-008	2.057836e-002	2.345220e+003
1.702253124948856e-008	1.815775e-002	2.337713e+003
1.731549999948856e-008	1.601581e-002	2.331089e+003
1.760846874948856e-008	1.412179e-002	2.325246e+003
1.790143749948856e-008	1.244806e-002	2.320095e+003
1.819440624948855e-008	1.096980e-002	2.315554e+003
1.848737499948855e-008	9.664838e-003	2.311552e+003
1.878034374948855e-008	8.513358e-003	2.308027e+003
1.907331249948854e-008	7.497700e-003	2.304922e+003
1.936628124948854e-008	6.602149e-003	2.302187e+003
1.965924999948854e-008	5.812739e-003	2.299779e+003
1.995221874948854e-008	5.117076e-003	2.297658e+003
2.024518749948853e-008	4.504172e-003	2.295792e+003
2.053815624948853e-008	3.964292e-003	2.294149e+003
2.083112499948853e-008	3.488824e-003	2.292703e+003
2.112409374948853e-008	3.070150e-003	2.291431e+003
2.141706249948852e-008	2.701538e-003	2.290311e+003
2.171003124948852e-008	2.377043e-003	2.289325e+003
2.200299999948852e-008	2.091417e-003	2.288458e+003
2.239362499948851e-008	1.763119e-003	2.287462e+003
2.278424999948851e-008	1.486254e-003	2.286622e+003
2.317487499948851e-008	1.252793e-003	2.285915e+003
2.356549999948850e-008	1.055952e-003	2.285318e+003
2.395612499948850e-008	8.900029e-004	2.284815e+003
2.434674999948849e-008	7.501077e-004	2.284391e+003
2.483503124948849e-008	6.057191e-004	2.283953e+003
2.532331249948849e-008	4.891059e-004	2.283600e+003
2.581159374948848e-008	3.949313e-004	2.283315e+003
2.639753124948847e-008	3.055275e-004	2.283044e+003
2.708112499948847e-008	2.264572e-004	2.282805e+003
2.776471874948846e-008	1.678456e-004	2.282628e+003
2.864362499948845e-008	1.141975e-004	2.282465e+003
2.971784374948844e-008	7.132192e-005	2.282335e+003
3.108503124948848e-008	3.917615e-005	2.282238e+003
3.294049999948852e-008	1.737316e-005	2.282172e+003
3.616315624948860e-008	4.231665e-006	2.282132e+003
5.003034374948894e-008	9.708261e-009	2.282119e+003
9.817487499949010e-008	6.071966e-018	1.000000e+308
9.993268749949014e-008	2.932806e-018	1.000000e+308
1.000000000000000e-007	2.864639e-018	1.000000e+308
Step Information: Vdd=1.5  (Run: 11/14)
0.000000000000000e+000	1.500000e+000	1.077657e+004
9.765624960978488e-016	1.500000e+000	1.077783e+004
1.953124992195698e-015	1.500000e+000	1.077825e+004
4.131906249488534e-009	9.363652e-001	7.018282e+003
6.085031249488532e-009	6.794201e-001	5.254266e+003
7.061593749488530e-009	5.548375e-001	4.423687e+003
7.647531249488531e-009	4.824773e-001	3.980031e+003
8.135812499488535e-009	4.245303e-001	3.665562e+003
8.624093749488539e-009	3.696852e-001	3.405249e+003
9.210031249488543e-009	3.090709e-001	3.150832e+003
9.698312499488547e-009	2.634911e-001	2.976487e+003
1.018659374948855e-008	2.226677e-001	2.830186e+003
1.057721874948855e-008	1.934674e-001	2.730533e+003
1.096784374948856e-008	1.672827e-001	2.644403e+003
1.135846874948856e-008	1.439976e-001	2.570215e+003
1.174909374948856e-008	1.234509e-001	2.506534e+003
